enactment_id,activity_name,timestamp,agent_name
ORD_d82b583e,buyer: Send order,2020-01-01 09:05:08.091,buyer
ORD_d82b583e,seller_clerk_1: Received Task (on_order),2020-01-01 09:05:08.193,seller_clerk_1
ORD_d82b583e,seller_clerk_1: Started Task (on_order),2020-01-01 09:05:08.263,seller_clerk_1
ORD_2efa30d3,buyer: Send order,2020-01-01 09:10:08.514,buyer
ORD_d82b583e,seller_clerk_1: Completed Task (on_order),2020-01-01 09:54:48.126,seller_clerk_1
ORD_2efa30d3,seller_clerk_1: Received Task (on_order),2020-01-01 09:54:48.259,seller_clerk_1
ORD_d82b583e,seller_accountant_1: Received Task (send_invoice),2020-01-01 09:54:48.259,seller_accountant_1
ORD_d82b583e,seller_clerk_2: Received Task (send_delivery_req),2020-01-01 09:54:48.260,seller_clerk_2
ORD_d82b583e,seller_accountant_1: Started Task (send_invoice),2020-01-01 09:54:48.334,seller_accountant_1
ORD_d82b583e,seller_clerk_2: Started Task (send_delivery_req),2020-01-01 09:54:48.335,seller_clerk_2
ORD_2efa30d3,seller_clerk_1: Started Task (on_order),2020-01-01 09:54:48.336,seller_clerk_1
ORD_d82b583e,seller_accountant_1: Completed Task (send_invoice),2020-01-01 10:21:29.560,seller_accountant_1
ORD_d82b583e,seller: Send invoice,2020-01-01 10:21:29.694,seller
ORD_d82b583e,seller_clerk_2: Completed Task (send_delivery_req),2020-01-01 10:24:48.543,seller_clerk_2
ORD_d82b583e,seller: Send delivery_req,2020-01-01 10:24:48.678,seller
ORD_2efa30d3,seller_clerk_1: Completed Task (on_order),2020-01-01 10:34:47.258,seller_clerk_1
ORD_2efa30d3,seller_clerk_2: Received Task (send_reject),2020-01-01 10:39:47.397,seller_clerk_2
ORD_d82b583e,logistics_warehouseman_1: Received Task (on_delivery_req),2020-01-01 10:39:47.397,logistics_warehouseman_1
ORD_dddb0c21,buyer: Send order,2020-01-01 10:39:47.512,buyer
ORD_2efa30d3,seller_clerk_2: Started Task (send_reject),2020-01-01 10:44:47.474,seller_clerk_2
ORD_d82b583e,logistics_warehouseman_1: Started Task (on_delivery_req),2020-01-01 10:44:47.476,logistics_warehouseman_1
ORD_2efa30d3,seller_clerk_2: Completed Task (send_reject),2020-01-01 10:49:47.574,seller_clerk_2
ORD_dddb0c21,seller_clerk_1: Received Task (on_order),2020-01-01 10:49:47.608,seller_clerk_1
ORD_2efa30d3,seller: Send reject,2020-01-01 10:49:47.712,seller
ORD_b2ea7fca,buyer: Send order,2020-01-01 10:49:47.722,buyer
ORD_dddb0c21,seller_clerk_1: Started Task (on_order),2020-01-01 11:49:52.324,seller_clerk_1
ORD_d82b583e,logistics_warehouseman_1: Completed Task (on_delivery_req),2020-01-01 11:49:52.324,logistics_warehouseman_1
ORD_d82b583e,logistics_courier_1: Received Task (send_deliver),2020-01-01 11:59:52.461,logistics_courier_1
ORD_b2ea7fca,seller_clerk_2: Received Task (on_order),2020-01-01 11:59:52.462,seller_clerk_2
ORD_d82b583e,buyer: Send cancel_req,2020-01-01 11:59:52.578,buyer
